From Bank,From Account,To Bank,To Account,Amount Paid
01292,80058A490,01292,800681A40,6028302.771000001
01292,800681A40,006,8047A3DA0,6635384.631
006,8047A3DA0,0013184,805D4E7B0,5072994.369
006,8047A3DA0,0014381,8055151E0,21640229.209200002
001669,801519400,014663,806047980,14525467.120000001
013083,803CF7A80,0220541,8083C1550,11324344.7022
014663,806047980,003655,8060476B0,4319964.0
0220541,8083C1550,023833,80426FC30,11258800.9713
023833,80426FC30,013083,8025EF980,11246309.59
003655,8060476B0,018460,80D389E00,33510356.099999998
0119,811C597B0,0048309,811C599A0,6183510.66
0048309,811C599A0,0119,811C597B0,5174804.4432
0119,811C597B0,0048309,811C599A0,6183510.66
